Freq,FFT
00.00,+1999.00000
00.45,-199.21274
00.91,-190.98918
01.36,-177.73592
01.82,-160.10390
02.27,-138.95024
02.73,-115.28821
03.18,-90.22859
03.63,-64.91614
04.09,-40.46514
04.54,-17.89811
05.00,+1.90865
05.45,+18.26934
05.91,+30.72027
06.36,+39.03704
06.82,+43.23663
07.27,+43.56465
07.72,+40.46899
08.18,+34.56197
08.63,+26.57379
09.09,+17.30060
09.54,+7.55073
10.00,-1.90732
10.45,-10.39180
10.90,-17.34657
11.36,-22.36973
11.81,-25.23041
12.27,-25.87318
12.72,-24.41026
13.18,-21.10258
13.63,-16.33155
14.08,-10.56390
14.54,-4.31231
14.99,+1.90511
15.45,+7.60362
15.90,+12.36620
16.36,+15.87122
16.81,+17.91159
17.26,+18.40457
17.72,+17.39177
18.17,+15.02981
18.63,+11.57277
19.08,+7.34807
19.54,+2.72780
19.99,-1.90202
20.45,-6.17200
20.90,-9.75737
21.35,-12.40137
21.81,-13.93240
22.26,-14.27403
22.72,-13.44712
23.17,-11.56439
23.63,-8.81799
24.08,-5.46136
24.53,-1.78702
24.99,+1.89804
25.44,+5.29707
25.90,+8.14670
26.35,+10.23670
26.81,+11.42477
27.26,+11.64561
27.71,+10.91355
28.17,+9.31880
28.62,+7.01784
29.08,+4.21888
29.53,+1.16359
29.99,-1.89320
30.44,-4.70424
30.90,-7.04947
31.35,-8.75278
31.80,-9.69487
32.26,-9.82118
32.71,-9.14445
33.17,-7.74184
33.62,-5.74694
34.08,-3.33752
34.53,-0.72010
34.98,+1.88748
35.44,+4.27384
35.89,+6.25095
36.35,+7.66864
36.80,+8.42578
37.26,+8.47721
37.71,+7.83602
38.16,+6.57106
38.62,+4.80008
39.07,+2.67904
39.53,+0.38864
39.98,-1.88089
40.44,-3.94537
40.89,-5.64140
41.34,-6.83917
41.80,-7.45216
42.25,-7.44326
42.71,-6.82665
43.16,-5.66556
43.62,-4.06614
44.07,-2.16791
44.53,-0.13178
44.98,+1.87345
45.43,+3.68493
45.89,+5.15888
46.34,+6.18185
46.80,+6.67931
47.25,+6.62100
47.71,+6.02247
48.16,+4.94294
48.61,+3.47968
49.07,+1.75936
49.52,-0.07280
49.98,-1.86515
50.43,-3.47210
50.89,-4.76582
51.34,-5.64632
51.79,-6.04910
52.25,-5.94975
52.70,-5.36524
53.16,-4.35181
53.61,-2.99969
54.07,-1.42519
54.52,+0.23923
54.98,+1.85601
55.43,+3.29380
55.88,+4.43806
56.34,+5.20009
56.79,+5.52385
57.25,+5.39001
57.70,+4.81690
58.16,+3.85843
58.61,+2.59912
59.06,+1.14673
59.52,-0.37690
59.97,-1.84603
60.43,-3.14131
60.88,-4.15942
61.34,-4.82127
61.79,-5.07810
62.24,-4.91498
62.70,-4.35151
63.15,-3.43975
63.61,-2.25946
64.06,-0.91117
64.52,+0.49229
64.97,+1.83523
65.42,+3.00855
65.88,+3.91860
66.33,+4.49458
66.79,+4.69402
67.24,+4.50584
67.70,+3.95083
68.15,+3.07950
68.61,+1.96756
69.06,+0.70937
69.51,-0.59002
69.97,-1.82360
70.42,-2.89119
70.88,-3.70752
71.33,-4.20903
71.79,-4.35874
72.24,-4.14898
72.69,-3.60161
73.15,-2.76585
73.60,-1.71388
74.06,-0.53468
74.51,+0.67346
74.97,+1.81117
75.42,+2.78606
75.87,+3.52023
76.33,+3.95649
76.78,+4.06275
77.24,+3.83433
77.69,+3.29405
78.15,+2.48999
78.60,+1.49128
79.05,+0.38214
79.51,-0.74516
79.96,-1.79794
80.42,-2.69075
80.87,-3.35225
81.33,-3.73087
81.78,-3.79887
82.24,-3.55425
82.69,-3.02069
83.14,-2.24527
83.60,-1.29435
84.05,-0.24794
84.51,+0.80704
84.96,+1.78393
85.42,+2.60346
85.87,+3.20014
86.32,+3.52748
86.78,+3.56159
87.23,+3.30288
87.69,+2.77580
88.14,+2.02650
88.60,+1.11888
89.05,+0.12914
89.50,-0.86061
89.96,-1.76915
90.41,-2.52277
90.87,-3.06125
91.32,-3.34266
91.78,-3.34660
92.23,-3.07563
92.69,-2.55487
93.14,-1.82964
93.59,-0.96159
94.05,-0.02345
94.50,+0.90706
94.96,+1.75361
95.41,+2.44756
95.87,+2.93346
96.32,+3.17352
96.77,+3.15048
97.23,+2.86885
97.68,+2.35434
98.14,+1.65148
98.59,+0.81985
99.05,-0.07100
99.50,-0.94734
99.95,-1.73733
100.41,-2.37694
100.86,-2.81509
101.32,-3.01774
101.77,-2.97049
102.23,-2.67962
102.68,-2.17132
103.13,-1.48940
103.59,-0.69152
104.04,+0.15570
104.50,+0.98222
104.95,+1.72032
105.41,+2.31020
105.86,+2.70478
106.32,+2.87345
106.77,+2.80442
107.22,+2.50555
107.68,+2.00348
108.13,+1.34131
108.59,+0.57489
109.04,-0.23187
109.50,-1.01233
109.95,-1.70260
110.40,-2.24676
110.86,-2.60142
111.31,-2.73911
111.77,-2.65044
112.22,-2.34470
112.68,-1.84890
113.13,-1.20545
113.58,-0.46852
114.04,+0.30052
114.49,+1.03820
114.95,+1.68418
115.40,+2.18614
115.86,+2.50409
116.31,+2.61347
116.77,+2.50706
117.22,+2.19545
117.67,+1.70598
118.13,+1.08039
118.58,+0.37124
119.04,-0.36248
119.49,-1.06028
119.95,-1.66508
120.40,-2.12796
120.85,-2.41204
121.31,-2.49546
121.76,-2.37301
122.22,-2.05646
122.67,-1.57340
123.13,-0.96492
123.58,-0.28205
124.03,+0.41847
124.49,+1.07892
124.94,+1.64532
125.40,+2.07187
125.85,+2.32463
126.31,+2.38421
126.76,+2.24725
127.21,+1.92659
127.67,+1.45004
128.12,+0.85802
128.58,+0.20011
129.03,-0.46908
129.49,-1.09445
129.94,-1.62491
130.40,-2.01761
130.85,-2.24132
131.30,-2.27896
131.76,-2.12889
132.21,-1.80490
132.67,-1.33495
133.12,-0.75883
133.58,-0.12471
134.03,+0.51482
134.48,+1.10713
134.94,+1.60388
135.39,+1.96495
135.85,+2.16167
136.30,+2.17910
136.76,+2.01718
137.21,+1.69055
137.66,+1.22732
138.12,+0.66660
138.57,+0.05523
139.03,-0.55613
139.48,-1.11721
139.94,-1.58225
140.39,-1.91370
140.85,-2.08529
141.30,-2.08409
141.75,-1.91146
142.21,-1.58286
142.66,-1.12645
143.12,-0.58071
143.57,+0.00884
144.03,+0.59339
144.48,+1.12489
144.93,+1.56003
145.39,+1.86369
145.84,+2.01185
146.30,+1.99345
146.75,+1.81119
147.21,+1.48122
147.66,+1.03175
148.11,+0.50060
148.57,-0.06797
149.02,-0.62693
149.48,-1.13035
149.93,-1.53724
150.39,-1.81479
150.84,-1.94109
151.29,-1.90680
151.75,-1.71588
152.20,-1.38512
152.66,-0.94270
153.11,-0.42579
153.57,+0.12256
154.02,+0.65703
154.48,+1.13375
154.93,+1.51391
155.38,+1.76688
155.84,+1.87275
156.29,+1.82380
156.75,+1.62512
157.20,+1.29409
157.66,+0.85884
158.11,+0.35588
158.56,-0.17295
159.02,-0.68396
159.47,-1.13523
159.93,-1.49005
160.38,-1.71987
160.84,-1.80663
161.29,-1.74414
161.74,-1.53856
162.20,-1.20775
162.65,-0.77977
163.11,-0.29049
163.56,+0.21945
164.02,+0.70793
164.47,+1.13492
164.93,+1.46570
165.38,+1.67367
165.83,+1.74254
166.29,+1.66757
166.74,+1.45587
167.20,+1.12575
167.65,+0.70516
168.11,+0.22929
168.56,-0.26233
169.01,-0.72916
169.47,-1.13294
169.92,-1.44086
170.38,-1.62821
170.83,-1.68035
171.29,-1.59387
171.74,-1.37678
172.19,-1.04779
172.65,-0.63469
173.10,-0.17202
173.56,+0.30184
174.01,+0.74781
174.47,+1.12938
174.92,+1.41557
175.37,+1.58343
175.83,+1.61990
176.28,+1.52283
176.74,+1.30104
177.19,+0.97359
177.65,+0.56809
178.10,+0.11840
178.56,-0.33818
179.01,-0.76405
179.46,-1.12435
179.92,-1.38984
180.37,-1.53928
180.83,-1.56109
181.28,-1.45428
181.74,-1.22845
182.19,-0.90292
182.64,-0.50512
183.10,-0.06822
183.55,+0.37156
184.01,+0.77803
184.46,+1.11793
184.92,+1.36371
185.37,+1.49572
185.82,+1.50381
186.28,+1.38808
186.73,+1.15881
187.19,+0.83557
187.64,+0.44556
188.10,+0.02127
188.55,-0.40215
189.00,-0.78988
189.46,-1.11021
189.91,-1.33719
190.37,-1.45273
190.82,-1.44798
191.28,-1.32408
191.73,-1.09195
192.19,-0.77135
192.64,-0.38922
193.09,+0.02263
193.55,+0.43011
194.00,+0.79971
194.46,+1.10125
194.91,+1.31031
195.37,+1.41026
195.82,+1.39352
196.27,+1.26217
196.73,+1.02772
197.18,+0.71009
197.64,+0.33593
198.09,-0.06364
198.55,-0.45557
199.00,-0.80765
199.45,-1.09113
199.91,-1.28310
200.36,-1.36830
200.82,-1.34036
201.27,-1.20225
201.73,-0.96600
202.18,-0.65164
202.64,-0.28552
203.09,+0.10193
203.54,+0.47868
204.00,+0.81379
204.45,+1.07992
204.91,+1.25557
205.36,+1.32683
205.82,+1.28844
206.27,+1.14422
206.72,+0.90666
207.18,+0.59587
207.63,+0.23786
208.09,-0.13762
208.54,-0.49955
209.00,-0.81823
209.45,-1.06767
209.90,-1.22776
210.36,-1.28584
210.81,-1.23772
211.27,-1.08800
211.72,-0.84959
212.18,-0.54264
212.63,-0.19282
213.08,+0.17083
213.54,+0.51829
213.99,+0.82105
214.45,+1.05445
214.90,+1.19969
215.36,+1.24532
215.81,+1.18816
216.27,+1.03352
216.72,+0.79471
217.17,+0.49186
217.63,+0.15028
218.08,-0.20169
218.54,-0.53501
218.99,-0.82235
219.45,-1.04032
219.90,-1.17138
220.35,-1.20526
220.81,-1.13971
221.26,-0.98072
221.72,-0.74191
222.17,-0.44341
222.63,-0.11013
223.08,+0.23030
223.53,+0.54979
223.99,+0.82219
224.44,+1.02532
224.90,+1.14287
225.35,+1.16566
225.81,+1.09235
226.26,+0.92954
226.72,+0.69114
227.17,+0.39721
227.62,+0.07227
228.08,-0.25675
228.53,-0.56274
228.99,-0.82064
229.44,-1.00951
229.90,-1.11418
230.35,-1.12652
230.80,-1.04605
231.26,-0.87992
231.71,-0.64230
232.17,-0.35317
232.62,-0.03662
233.08,+0.28114
233.53,+0.57393
233.98,+0.81779
234.44,+0.99293
234.89,+1.08533
235.35,+1.08784
235.80,+1.00078
236.26,+0.83183
236.71,+0.59535
237.16,+0.31122
237.62,+0.00309
238.07,-0.30354
238.53,-0.58343
238.98,-0.81369
239.44,-0.97564
239.89,-1.05635
240.35,-1.04963
240.80,-0.95653
241.25,-0.78521
241.71,-0.55023
242.16,-0.27129
242.62,+0.02840
243.07,+0.32405
243.53,+0.59133
243.98,+0.80840
244.43,+0.95768
244.89,+1.02727
245.34,+1.01189
245.80,+0.91328
246.25,+0.74005
246.71,+0.50688
247.16,+0.23330
247.61,-0.05792
248.07,-0.34272
248.52,-0.59768
248.98,-0.80199
249.43,-0.93910
249.89,-0.99812
250.34,-0.97462
250.80,-0.87102
251.25,-0.69630
251.70,-0.46525
252.16,-0.19721
252.61,+0.08554
253.07,+0.35964
253.52,+0.60257
253.98,+0.79450
254.43,+0.91993
254.88,+0.96891
255.34,+0.93784
255.79,+0.82974
256.25,+0.65394
256.70,+0.42530
257.16,+0.16295
257.61,-0.11132
258.06,-0.37486
258.52,-0.60604
258.97,-0.78601
259.43,-0.90023
259.88,-0.93969
260.34,-0.90156
260.79,-0.78943
261.24,-0.61294
261.70,-0.38699
262.15,-0.13047
262.61,+0.13532
263.06,+0.38845
263.52,+0.60816
263.97,+0.77654
264.43,+0.88003
264.88,+0.91048
265.33,+0.86579
265.79,+0.75008
266.24,+0.57327
266.70,+0.35028
267.15,+0.09973
267.61,-0.15759
268.06,-0.40047
268.51,-0.60899
268.97,-0.76617
269.42,-0.85938
269.88,-0.88130
270.33,-0.83053
270.79,-0.71168
271.24,-0.53493
271.69,-0.31514
272.15,-0.07068
272.60,+0.17820
273.06,+0.41098
273.51,+0.60858
273.97,+0.75494
274.42,+0.83830
274.88,+0.85217
275.33,+0.79581
275.78,+0.67425
276.24,+0.49788
276.69,+0.28154
277.15,+0.04327
277.60,-0.19718
278.06,-0.42001
278.51,-0.60698
278.96,-0.74289
279.42,-0.81686
279.87,-0.82314
280.33,-0.76163
280.78,-0.63776
281.24,-0.46212
281.69,-0.24944
282.14,-0.01747
282.60,+0.21460
283.05,+0.42764
283.51,+0.60425
283.96,+0.73007
284.42,+0.79507
284.87,+0.79423
285.32,+0.72800
285.78,+0.60223
286.23,+0.42762
286.69,+0.21882
287.14,-0.00677
287.60,-0.23048
288.05,-0.43391
288.51,-0.60043
288.96,-0.71654
289.41,-0.77298
289.87,-0.76545
290.32,-0.69495
290.78,-0.56766
291.23,-0.39438
291.69,-0.18966
292.14,+0.02947
292.59,+0.24489
293.05,+0.43887
293.50,+0.59557
293.96,+0.70232
294.41,+0.75062
294.87,+0.73684
295.32,+0.66249
295.77,+0.53404
296.23,+0.36238
296.68,+0.16192
297.14,-0.05069
297.59,-0.25785
298.05,-0.44255
298.50,-0.58973
298.95,-0.68747
299.41,-0.72804
299.86,-0.70843
300.32,-0.63062
300.77,-0.50137
301.23,-0.33162
301.68,-0.13558
302.14,+0.07044
302.59,+0.26942
303.04,+0.44502
303.50,+0.58294
303.95,+0.67203
304.41,+0.70527
304.86,+0.68024
305.32,+0.59938
305.77,+0.46966
306.22,+0.30207
306.68,+0.11063
307.13,-0.08876
307.59,-0.27963
308.04,-0.44631
308.50,-0.57525
308.95,-0.65604
309.40,-0.68234
309.86,-0.65230
310.31,-0.56876
310.77,-0.43891
311.22,-0.27373
311.68,-0.08703
312.13,+0.10569
312.59,+0.28852
313.04,+0.44647
313.49,+0.56670
313.95,+0.63954
314.40,+0.65929
314.86,+0.62464
315.31,+0.53879
315.77,+0.40913
316.22,+0.24659
316.67,+0.06477
317.13,-0.12125
317.58,-0.29613
318.04,-0.44554
318.49,-0.55734
318.95,-0.62257
319.40,-0.63615
319.85,-0.59728
320.31,-0.50949
320.76,-0.38031
321.22,-0.22065
321.67,-0.04384
322.13,+0.13547
322.58,+0.30249
323.03,+0.44356
323.49,+0.54722
323.94,+0.60518
324.40,+0.61296
324.85,+0.57024
325.31,+0.48086
325.76,+0.35247
326.22,+0.19589
326.67,+0.02420
327.12,-0.14839
327.58,-0.30765
328.03,-0.44056
328.49,-0.53636
328.94,-0.58739
329.40,-0.58975
329.85,-0.54355
330.30,-0.45292
330.76,-0.32560
331.21,-0.17231
331.67,-0.00584
332.12,+0.16003
332.58,+0.31164
333.03,+0.43660
333.48,+0.52482
333.94,+0.56926
334.39,+0.56656
334.85,+0.51725
335.30,+0.42569
335.76,+0.29971
336.21,+0.14990
336.67,-0.01126
337.12,-0.17041
337.57,-0.31449
338.03,-0.43171
338.48,-0.51263
338.94,-0.55081
339.39,-0.54341
339.85,-0.49134
340.30,-0.39918
340.75,-0.27480
341.21,-0.12864
341.66,+0.02711
342.12,+0.17958
342.57,+0.31623
343.03,+0.42593
343.48,+0.49983
343.93,+0.53209
344.39,+0.52035
344.84,+0.46586
345.30,+0.37341
345.75,+0.25088
346.21,+0.10854
346.66,-0.04174
347.11,-0.18755
347.57,-0.31691
348.02,-0.41930
348.48,-0.48647
348.93,-0.51314
349.39,-0.49739
349.84,-0.44083
350.30,-0.34840
350.75,-0.22794
351.20,-0.08958
351.66,+0.05517
352.11,+0.19436
352.57,+0.31656
353.02,+0.41185
353.48,+0.47257
353.93,+0.49398
354.38,+0.47458
354.84,+0.41628
355.29,+0.32414
355.75,+0.20600
356.20,+0.07176
356.66,-0.06741
357.11,-0.20002
357.56,-0.31521
358.02,-0.40363
358.47,-0.45819
358.93,-0.47466
359.38,-0.45195
359.84,-0.39223
360.29,-0.30067
360.75,-0.18506
361.20,-0.05507
361.65,+0.07847
362.11,+0.20457
362.56,+0.31290
363.02,+0.39467
363.47,+0.44336
363.93,+0.45521
364.38,+0.42952
364.83,+0.36869
365.29,+0.27799
365.74,+0.16511
366.20,+0.03951
366.65,-0.08839
367.11,-0.20804
367.56,-0.30965
368.01,-0.38501
368.47,-0.42812
368.92,-0.43567
369.38,-0.40733
369.83,-0.34570
370.29,-0.25612
370.74,-0.14616
371.19,-0.02505
371.65,+0.09717
372.10,+0.21044
372.56,+0.30550
373.01,+0.37468
373.47,+0.41249
373.92,+0.41608
374.38,+0.38540
374.83,+0.32328
375.28,+0.23506
375.74,+0.12822
376.19,+0.01170
376.65,-0.10484
377.10,-0.21181
377.56,-0.30049
378.01,-0.36373
378.46,-0.39654
378.92,-0.39646
379.37,-0.36377
379.83,-0.30144
380.28,-0.21484
380.74,-0.11128
381.19,+0.00056
381.64,+0.11142
382.10,+0.21218
382.55,+0.29465
383.01,+0.35219
383.46,+0.38028
383.92,+0.37685
384.37,+0.34247
384.83,+0.28021
385.28,+0.19545
385.73,+0.09535
386.19,-0.01173
386.64,-0.11692
387.10,-0.21157
387.55,-0.28801
388.01,-0.34009
388.46,-0.36375
388.91,-0.35729
389.37,-0.32152
389.82,-0.25962
390.28,-0.17692
390.73,-0.08042
391.19,+0.02183
391.64,+0.12136
392.09,+0.21002
392.55,+0.28060
393.00,+0.32748
393.46,+0.34700
393.91,+0.33782
394.37,+0.30094
394.82,+0.23967
395.27,+0.15926
395.73,+0.06650
396.18,-0.03085
396.64,-0.12476
397.09,-0.20754
397.55,-0.27246
398.00,-0.31438
398.46,-0.33006
398.91,-0.31845
399.36,-0.28078
399.82,-0.22039
400.27,-0.14247
400.73,-0.05359
401.18,+0.03883
401.64,+0.12715
402.09,+0.20416
402.54,+0.26363
403.00,+0.30084
403.45,+0.31296
403.91,+0.29923
404.36,+0.26105
404.82,+0.20180
405.27,+0.12656
405.72,+0.04168
406.18,-0.04576
406.63,-0.12854
407.09,-0.19992
407.54,-0.25413
408.00,-0.28689
408.45,-0.29574
408.90,-0.28019
409.36,-0.24179
409.81,-0.18392
410.27,-0.11155
410.72,-0.03078
411.18,+0.05165
411.63,+0.12896
412.09,+0.19484
412.54,+0.24399
412.99,+0.27257
413.45,+0.27844
413.90,+0.26137
414.36,+0.22301
414.81,+0.16676
415.27,+0.09743
415.72,+0.02088
416.17,-0.05653
416.63,-0.12842
417.08,-0.18895
417.54,-0.23326
417.99,-0.25791
418.45,-0.26108
418.90,-0.24278
419.35,-0.20475
419.81,-0.15034
420.26,-0.08423
420.72,-0.01198
421.17,+0.06040
421.63,+0.12695
422.08,+0.18228
422.54,+0.22197
422.99,+0.24294
423.44,+0.24372
423.90,+0.22447
424.35,+0.18702
424.81,+0.13468
425.26,+0.07194
425.72,+0.00407
426.17,-0.06327
426.62,-0.12457
427.08,-0.17485
427.53,-0.21014
427.99,-0.22772
428.44,-0.22637
428.90,-0.20646
429.35,-0.16986
429.80,-0.11980
430.26,-0.06057
430.71,+0.00284
431.17,+0.06516
431.62,+0.12130
432.08,+0.16671
432.53,+0.19781
432.98,+0.21226
433.44,+0.20908
433.89,+0.18878
434.35,+0.15328
434.80,+0.10570
435.26,+0.05013
435.71,-0.00877
436.17,-0.06609
436.62,-0.11716
