10001
(00000) Freq	Fast Fourier Transform
(00001) +0.00    | +1999.00000 j -0.00000
(00002) +0.10    | -1870.19465 j -0.58748
(00003) +0.20    | +1513.43337 j +0.95082
(00004) +0.30    | -1009.57309 j -0.95141
(00005) +0.40    | +468.76146 j +0.58900
(00006) +0.50    |  -1.20000 j -0.00188
(00007) +0.60    | -310.88896 j -0.58595
(00008) +0.70    | +432.14264 j +0.95024
(00009) +0.80    | -378.81951 j -0.95198
(00010) +0.90    | +208.87636 j +0.59053
(00011) +1.00    |  -1.19999 j -0.00377
(00012) +1.10    | -169.13302 j -0.58443
(00013) +1.20    | +251.92621 j +0.94965
(00014) +1.30    | -233.25978 j -0.95256
(00015) +1.40    | +134.62278 j +0.59205
(00016) +1.50    |  -1.19998 j -0.00565
(00017) +1.60    | -115.97394 j -0.58290
(00018) +1.70    | +177.71852 j +0.94906
(00019) +1.80    | -168.56569 j -0.95313
(00020) +1.90    | +99.44951 j +0.59356
(00021) +2.00    |  -1.19997 j -0.00754
(00022) +2.10    | -88.12825 j -0.58136
(00023) +2.20    | +137.24089 j +0.94846
(00024) +2.30    | -131.99877 j -0.95370
(00025) +2.40    | +78.93136 j +0.59508
(00026) +2.50    |  -1.19996 j -0.00942
(00027) +2.60    | -70.99207 j -0.57983
(00028) +2.70    | +111.75439 j +0.94786
(00029) +2.80    | -108.49091 j -0.95427
(00030) +2.90    | +65.48809 j +0.59659
(00031) +3.00    |  -1.19994 j -0.01131
(00032) +3.10    | -59.38339 j -0.57829
(00033) +3.20    | +94.23193 j +0.94726
(00034) +3.30    | -92.10616 j -0.95483
(00035) +3.40    | +55.99843 j +0.59811
(00036) +3.50    |  -1.19992 j -0.01319
(00037) +3.60    | -50.99907 j -0.57675
(00038) +3.70    | +81.44485 j +0.94665
(00039) +3.80    | -80.03277 j -0.95539
(00040) +3.90    | +48.94176 j +0.59961
(00041) +4.00    |  -1.19989 j -0.01508
(00042) +4.10    | -44.65949 j -0.57521
(00043) +4.20    | +71.70194 j +0.94605
(00044) +4.30    | -70.76678 j -0.95594
(00045) +4.40    | +43.48865 j +0.60112
(00046) +4.50    |  -1.19986 j -0.01696
(00047) +4.60    | -39.69786 j -0.57367
(00048) +4.70    | +64.03166 j +0.94543
(00049) +4.80    | -63.43087 j -0.95649
(00050) +4.90    | +39.14821 j +0.60263
(00051) +5.00    |  -1.19983 j -0.01885
(00052) +5.10    | -35.70893 j -0.57212
(00053) +5.20    | +57.83614 j +0.94482
(00054) +5.30    | -57.47879 j -0.95704
(00055) +5.40    | +35.61137 j +0.60413
(00056) +5.50    |  -1.19979 j -0.02073
(00057) +5.60    | -32.43213 j -0.57058
(00058) +5.70    | +52.72727 j +0.94420
(00059) +5.80    | -52.55267 j -0.95758
(00060) +5.90    | +32.67383 j +0.60563
(00061) +6.00    |  -1.19976 j -0.02262
(00062) +6.10    | -29.69237 j -0.56903
(00063) +6.20    | +48.44217 j +0.94358
(00064) +6.30    | -48.40821 j -0.95813
(00065) +6.40    | +30.19511 j +0.60713
(00066) +6.50    |  -1.19971 j -0.02450
(00067) +6.60    | -27.36758 j -0.56748
(00068) +6.70    | +44.79640 j +0.94295
(00069) +6.80    | -44.87300 j -0.95866
(00070) +6.90    | +28.07548 j +0.60863
(00071) +7.00    |  -1.19967 j -0.02638
(00072) +7.10    | -25.37010 j -0.56593
(00073) +7.20    | +41.65677 j +0.94232
(00074) +7.30    | -41.82184 j -0.95920
(00075) +7.40    | +26.24215 j +0.61012
(00076) +7.50    |  -1.19962 j -0.02827
(00077) +7.60    | -23.63532 j -0.56437
(00078) +7.70    | +38.92468 j +0.94169
(00079) +7.80    | -39.16166 j -0.95973
(00080) +7.90    | +24.64076 j +0.61161
(00081) +8.00    |  -1.19957 j -0.03015
(00082) +8.10    | -22.11460 j -0.56281
(00083) +8.20    | +36.52559 j +0.94105
(00084) +8.30    | -36.82179 j -0.96026
(00085) +8.40    | +23.22988 j +0.61310
(00086) +8.50    |  -1.19951 j -0.03204
(00087) +8.60    | -20.77060 j -0.56125
(00088) +8.70    | +34.40208 j +0.94041
(00089) +8.80    | -34.74763 j -0.96078
(00090) +8.90    | +21.97741 j +0.61459
(00091) +9.00    |  -1.19945 j -0.03392
(00092) +9.10    | -19.57420 j -0.55969
(00093) +9.20    | +32.50921 j +0.93977
(00094) +9.30    | -32.89632 j -0.96130
(00095) +9.40    | +20.85808 j +0.61608
(00096) +9.50    |  -1.19939 j -0.03580
(00097) +9.60    | -18.50233 j -0.55813
(00098) +9.70    | +30.81133 j +0.93912
(00099) +9.80    | -31.23376 j -0.96182
(00100) +9.90    | +19.85170 j +0.61756
(00101) +10.00    |  -1.19932 j -0.03769
(00102) +10.10    | -17.53650 j -0.55657
(00103) +10.20    | +29.27976 j +0.93848
(00104) +10.30    | -29.73246 j -0.96233
(00105) +10.40    | +18.94198 j +0.61904
(00106) +10.50    |  -1.19925 j -0.03957
(00107) +10.60    | -16.66169 j -0.55500
(00108) +10.70    | +27.89118 j +0.93782
(00109) +10.80    | -28.37002 j -0.96285
(00110) +10.90    | +18.11563 j +0.62052
(00111) +11.00    |  -1.19918 j -0.04145
(00112) +11.10    | -15.86562 j -0.55343
(00113) +11.20    | +26.62644 j +0.93717
(00114) +11.30    | -27.12801 j -0.96335
(00115) +11.40    | +17.36168 j +0.62200
(00116) +11.50    |  -1.19910 j -0.04334
(00117) +11.60    | -15.13811 j -0.55186
(00118) +11.70    | +25.46967 j +0.93651
(00119) +11.80    | -25.99112 j -0.96386
(00120) +11.90    | +16.67099 j +0.62347
(00121) +12.00    |  -1.19902 j -0.04522
(00122) +12.10    | -14.47064 j -0.55029
(00123) +12.20    | +24.40759 j +0.93584
(00124) +12.30    | -24.94653 j -0.96436
(00125) +12.40    | +16.03592 j +0.62494
(00126) +12.50    |  -1.19894 j -0.04710
(00127) +12.60    | -13.85608 j -0.54871
(00128) +12.70    | +23.42902 j +0.93518
(00129) +12.80    | -23.98342 j -0.96485
(00130) +12.90    | +15.44999 j +0.62642
(00131) +13.00    |  -1.19885 j -0.04898
(00132) +13.10    | -13.28836 j -0.54713
(00133) +13.20    | +22.52446 j +0.93451
(00134) +13.30    | -23.09260 j -0.96535
(00135) +13.40    | +14.90771 j +0.62788
(00136) +13.50    |  -1.19876 j -0.05087
(00137) +13.60    | -12.76233 j -0.54556
(00138) +13.70    | +21.68582 j +0.93384
(00139) +13.80    | -22.26622 j -0.96584
(00140) +13.90    | +14.40436 j +0.62935
(00141) +14.00    |  -1.19867 j -0.05275
(00142) +14.10    | -12.27354 j -0.54398
(00143) +14.20    | +20.90614 j +0.93316
(00144) +14.30    | -21.49751 j -0.96632
(00145) +14.40    | +13.93590 j +0.63081
(00146) +14.50    |  -1.19857 j -0.05463
(00147) +14.60    | -11.81818 j -0.54239
(00148) +14.70    | +20.17939 j +0.93248
(00149) +14.80    | -20.78064 j -0.96681
(00150) +14.90    | +13.49880 j +0.63227
(00151) +15.00    |  -1.19847 j -0.05651
(00152) +15.10    | -11.39291 j -0.54081
(00153) +15.20    | +19.50035 j +0.93180
